iter	Accuracy	Logloss
633	0.8788824979	0.2910564432
634	0.8793755136	0.2909052922
635	0.8793755136	0.2907588591
636	0.8790468365	0.2906410547
637	0.879211175	0.2905326789
638	0.879211175	0.2903796265
639	0.879211175	0.2903737379
640	0.8793755136	0.2901837595
641	0.8795398521	0.2900702388
642	0.8797041906	0.2900618475
643	0.8800328677	0.2899891132
644	0.8798685292	0.2898257488
645	0.8801972062	0.2895559136
646	0.8803615448	0.289456266
647	0.8803615448	0.2894288183
648	0.8805258833	0.2893450448
649	0.8805258833	0.2893136504
650	0.8808545604	0.2891901442
651	0.8806902219	0.2890729786
652	0.8803615448	0.289038462
653	0.8803615448	0.2888829962
654	0.8800328677	0.2886734323
655	0.8803615448	0.2885847689
656	0.8803615448	0.2883923553
657	0.8803615448	0.2882481099
658	0.8803615448	0.2880975045
659	0.8808545604	0.2879632295
660	0.8806902219	0.2878497285
661	0.8808545604	0.2877036355
662	0.8808545604	0.2875518574
663	0.8811832375	0.2874460651
664	0.8811832375	0.2873944709
665	0.8808545604	0.2872142619
666	0.8810188989	0.286988111
667	0.8808545604	0.286760483
668	0.8816762531	0.2866937994
669	0.8816762531	0.2865869071
670	0.8816762531	0.2864584714
671	0.8820049302	0.2863245735
672	0.8820049302	0.2862280409
673	0.8818405916	0.2861487511
674	0.8820049302	0.2859831376
675	0.8821692687	0.2858912086
676	0.8820049302	0.2857597169
677	0.8821692687	0.285658776
678	0.8820049302	0.2855179645
679	0.8823336072	0.2854233057
680	0.8823336072	0.2853244329
681	0.8823336072	0.2852787012
682	0.8823336072	0.2852145883
683	0.8824979458	0.2851198907
684	0.8824979458	0.2850423828
685	0.8823336072	0.2849989005
686	0.8828266228	0.2849165772
687	0.8828266228	0.2847301411
688	0.8826622843	0.2846793268
689	0.8826622843	0.2845306661
690	0.8828266228	0.2844711593
691	0.8828266228	0.284401572
692	0.8829909614	0.2842407344
693	0.8829909614	0.2840827945
694	0.8831552999	0.2840396242
695	0.8828266228	0.2839940562
696	0.8828266228	0.2839227888
697	0.8828266228	0.2838378616
698	0.8829909614	0.2837578152
699	0.8829909614	0.2837347101
700	0.8828266228	0.2836676276
701	0.8828266228	0.2834859744
702	0.8831552999	0.2833724667
703	0.8833196385	0.2832204761
704	0.8833196385	0.2831467207
705	0.8838126541	0.2829376436
706	0.8839769926	0.2828217503
707	0.8838126541	0.2827558535
708	0.8849630238	0.2825480611
709	0.8849630238	0.2824704195
710	0.8846343468	0.2823178625
711	0.8844700082	0.2821642371
712	0.8844700082	0.2821364694
713	0.8844700082	0.2820994139
714	0.8846343468	0.2819686059
715	0.8849630238	0.2816786438
716	0.8849630238	0.2816453926
717	0.8849630238	0.2815938921
718	0.8849630238	0.2815256254
719	0.8849630238	0.2814548441
720	0.8851273624	0.2813591561
721	0.8849630238	0.2812633376
722	0.8849630238	0.2809652066
723	0.8852917009	0.2807530967
724	0.885620378	0.280688779
725	0.8852917009	0.2806393027
726	0.8852917009	0.2805764414
727	0.885620378	0.2804274841
728	0.885620378	0.2803525296
729	0.885620378	0.2801299164
730	0.8854560394	0.2800165072
731	0.885620378	0.2797812966
732	0.8859490551	0.2797251564
733	0.8857847165	0.2797035829
734	0.885620378	0.2795035222
735	0.885620378	0.2794753502
736	0.8857847165	0.2793575249
737	0.8857847165	0.2792080244
738	0.8861133936	0.2790396561
739	0.8861133936	0.2790142262
740	0.8859490551	0.2788669051
741	0.8859490551	0.2788420548
742	0.8861133936	0.2786470182
743	0.8862777321	0.2785855389
744	0.8861133936	0.278547777
745	0.8861133936	0.2783977433
746	0.8864420707	0.2783439787
747	0.8861133936	0.2782604035
748	0.8867707477	0.2781244198
749	0.8864420707	0.2780809174
750	0.8861133936	0.2779761964
751	0.8866064092	0.2778371329
752	0.8869350863	0.2776214372
753	0.8872637634	0.2775091274
754	0.8872637634	0.2774975216
755	0.8874281019	0.2773979656
756	0.8874281019	0.2773648606
757	0.8874281019	0.2772493818
758	0.8879211175	0.2771306071
759	0.8879211175	0.2770037054
760	0.8884141331	0.2768028493
761	0.8882497946	0.2767142162
762	0.888085456	0.2765615854
763	0.8884141331	0.2764322716
764	0.8884141331	0.2762816326
765	0.8884141331	0.2762223102
766	0.8884141331	0.2761460659
767	0.8884141331	0.2759863224
768	0.8887428102	0.2758251046
769	0.8895645029	0.2757497603
770	0.8890714873	0.2756413831
771	0.8894001643	0.2755411341
772	0.8894001643	0.275393693
773	0.8894001643	0.2753269335
774	0.8895645029	0.2751979823
